ID,REGION,NAME,RESERVATION_URL,URL_TYPE,SHOW,MEMO
1,00.예약,11/02 Team 지오디/영흥도,https://www.teamgod.kr,1,O,11/02 고현기 이선영 백승원 최성건 예약금20 입금
2,00.예약,10/17 영석호/영흥도,http://www.xn--3i4bl3g39q.com,1,O,갑-고현기 이선영 백승원 최성건 예약금16만 입금
3,00.예약,10/17 만석호/삼길포,https://www.mscufishing.com,1,O,쭈갑-고현기 이선영 백승원 최성건-입금대기 7월까지 입금
4,00.예약,07/4 깜보호/무창포,http://xn--h50bq35ao3c7qt.com/index.php,1,O,문어 탐사-고현기 이선영 백승원 최성건-입금완료
6,00.예약,06/14 승주호/삼길포,https://www.mscufishing.com,1,O,광우농-3+친-입금대기
7,00.예약,11/14 안흥2호/안흥,http://www.2ho.or.kr,1,O,문갑-고현기 이선영 백승원 최성건-입금완료
8,00.예약,10/11 여명호/안흥,http://xn--v42bv0rcoar53c6lb.kr,1,O,갑-4고현기 이선영 백승원 최성건-입금완료
10,00.예약,09/28 Team 지오디/영흥도,https://www.teamgod.kr,1,O,9/28 갑-최백오 예약금 15입금
11,00.예약,09/3 영석호/영흥도,http://www.xn--3i4bl3g39q.com,1,O,쭈-고현기 이선영 백승원 최성건 예약금 16만 입금
9,00.예약 보류,7/2 씨헌터호/격포,http://xn--jj0bu2czvmlihdwc.com/,1,O,7/2-문어탐사-고현기 이선영 백승원 최성건
12,경기 시흥 오이도,전투호,http://www.jaebul1ho.com,1,O,(신)(시간배)(자리 선택)
13,경기 시흥 오이도,한바다호,http://xn--2j1b67owufgpurea.com,1,O,(신)(시간배)(자리 선택)
14,경기 화성 전곡항,골드피싱호,https://golddragonho.sunsang24.com,2,O,
15,경기 화성 전곡항,뉴신명호/신명 스카이호,http://www.shinmyungho.com,1,O,(자리 선택)
16,경기 화성 전곡항,스타호/레인보우호,https://jstar.thefishing.kr,1,O,(자리 선택)
17,경기 화성 전곡항,양철호,http://xn--og5b42kssi.com,1,O,(자리 선택)
18,경기 화성 전곡항,옐로우피싱,https://yellow.sunsang24.com/,1,O,(자리 선택)
19,경기 화성 전곡항,왕선장호,http://king.sunsang24.com,2,O,(자리 선택)
20,경기 화성 전곡항,제비호,https://jebi.sunsang24.com,2,O,(자리 선택)
21,경기 화성 전곡항,빅보스호,https://bigbossho.sunsang24.com/,2,O,(신)(자리 선택)
22,인천 남항,슈퍼노바호,https://supernova.sunsang24.com,2,O,(자리 선택)
23,인천 연안부두,루키나2호/루키나호,http://lukina.sunsang24.com,2,O,(자리 선택)
24,인천 연안부두,시크릿호,https://khanfishing.com,1,O,(자리 선택)
25,인천 연안부두,팀에프원,https://kazmi.kr,1,O,(자리 선택)
26,인천 영종도,청마/아트/고강/제우스,https://www.chungmafishing.com,1,O,주차 주의
27,인천 영흥도,Team 만수,https://teammansu.kr,1,O,(자리 선택)
28,인천 영흥도,Team 지오디,https://www.teamgod.kr,1,O,(신)(자리 선택)
29,인천 영흥도,강팀호,http://xn--289a86en7cpsmbui4zeca7276a.com,1,O,(자리 선택)
30,인천 영흥도,골드피싱,http://www.goldfishingho.com,1,O,(자리 선택)
31,인천 영흥도,금강7호,http://www.kumkangho.co.kr,1,O,(자리 선택)
32,인천 영흥도,나이스호,http://www.niceho.com,1,O,
33,인천 영흥도,루어피싱호,http://yhdfish.net,1,O,(자리 선택)
34,인천 영흥도,마이웨이호,http://xn--c20b03d25ji7g57dh16a.kr,1,O,(자리 선택)
35,인천 영흥도,명성호,http://www.xn--hq1b31ko5fzpfdsxrtb.com,1,O,
36,인천 영흥도,부라보호,http://bravoho.kr,1,O,
37,인천 영흥도,빅토리/빅토리아/뉴승진호,https://www.yhseaking.com,1,O,(자리 선택)
38,인천 영흥도,아이리스호,http://www.irisho.kr,1,O,(자리 선택)
39,인천 영흥도,야호,http://xn--2f5b291a.com,1,O,(자리 선택)
40,인천 영흥도.,영동1호,http://www.xn--1-v78ex87bqjp.com,1,O,(자리 선택)
41,인천 영흥도.,영동2호,https://www.youngdong2ho.net,1,O,(자리 선택)
42,인천 영흥도.,영동3호,http://www.ydboat.com,1,O,(자리 선택)
43,인천 영흥도.,영석호,http://www.xn--3i4bl3g39q.com,1,O,(신)(자리 선택)
44,인천 영흥도.,영진호,http://www.youngjinho.net,1,O,(자리 선택)
45,인천 영흥도.,올림푸스호,http://www.olympusho.com,1,O,(자리 선택)
