ID,REGION,NAME,RESERVATION_URL,URL_TYPE,SHOW,MEMO
2,00.예약,09/12(금) 은하1호/영흥도 12물,http://www.gilfish.co.kr/,1,O,쭈-백승원 외 1(1 11)
3,01. 탑승완료,09/03(수) 어랑호/회변항 3물,-,1,O,쭈-고현기 이선영 백승원 최성건 32만 전액 입금
4,00.예약,09/28(일) Team 지오디/영흥도 13물,https://www.teamgod.kr,1,O,9/28 갑-최백오 예약금 15입금
5,00.예약,10/11(토) 여명호/안흥 11물,http://xn--v42bv0rcoar53c6lb.kr,1,O,갑-4고현기 이선영 백승원 최성건-입금완료
6,00.예약,10/17(금) 만석호/삼길포 2물,https://www.mscufishing.com,1,O,쭈갑-고현기 이선영 백승원 최성건-입금완료
7,00.예약,10/17(금) 영석호/영흥도 2물,http://www.xn--3i4bl3g39q.com,1,O,갑-고현기 이선영 백승원 최성건 예약금16만 입금
8,00.예약,11/02(일) Team 지오디/영흥도 4물,https://www.teamgod.kr,1,O,11/02 갑-고현기 이선영 백승원 최성건 예약금20 입금
9,00.예약,11/14(금) 안흥2호/안흥 1물,https://2ho.sunsang24.com/,2,O,문갑-고현기 이선영 백승원 최성건-입금완료
10,01. 탑승완료,06/14(토) 승주호/삼길포,https://www.mscufishing.com,1,O,광우농-3+친-입금완료
11,01. 탑승완료,05/18(일) 만석호/삼길포,포 https://www.mscufishing.com,1,O,광우농
12,01. 탑승완료,폭파 07/04(금) 깜보호/무창포,http://xn--h50bq35ao3c7qt.com/index.php,1,O,문어 탐사-고현기 이선영 백승원 최성건-입금완료
13,경기 시흥 오이도,포세이돈호,https://poseidon.sunsang24.com/,2,O,
14,경기 시흥 오이도,승원호,https://www.ioido.kr/,1,O,(신)시간배-종일배
15,경기 시흥 오이도,빨강등대호,http://www.redlight.kr/,1,O,20명-지정좌석
16,경기 시흥 오이도,스카이호,https://sky.sunsang24.com/,2,O,14명-지정좌석
17,경기 시흥 오이도,안산호,https://ansan.sunsang24.com/,2,O,20명-쭈갑예약 오픈 전
18,경기 시흥 오이도,전투호,http://www.jaebul1ho.com,1,O,20명-(신)(시간배)(자리 선택)
19,경기 시흥 오이도,킹스타호,https://kingstar.sunsang24.com/,2,X,20명-
20,경기 시흥 오이도,태평2호,https://taepyeong2.sunsang24.com/,2,X,11명-
21,경기 시흥 오이도,한바다호,http://xn--2j1b67owufgpurea.com,1,O,20명-(신)(시간배)(자리 선택)
22,경기 평택 평택항,경기 평택 평택항피싱호,http://www.ptfishing.net/,1,X,20명-지정좌석
23,경기 평택 평택항,돌핀호,https://dolphinho.sunsang24.com/,2,X,10명-지정좌석
24,경기 평택 평택항,동일호,http://빅스타호.com/,1,X,11명-
25,경기 평택 평택항,등대호,http://www.배낚시.kr/,1,X,14명-
26,경기 평택 평택항,베스트피싱호,http://평택항베스트피싱.com/,1,X,16명-지정좌석
27,경기 평택 평택항,베스트호,https://평택항바다배낚시.com/,1,X,정보없음-유선예약
28,경기 평택 평택항,빅스타호,http://빅스타호.com/,1,X,20명-지정좌석
29,경기 평택 평택항,서해피싱호,https://평택항서해피싱.com/,1,X,14명-지정좌석
30,경기 평택 평택항,수복호,http://수복호.com/,1,X,19명-지정좌석
31,경기 평택 평택항,수성호,http://평택항수성호.com/,1,X,16명-지정좌석
32,경기 평택 평택항,에이스피싱호,https://acefishing.sunsang24.com/,2,X,20명-무조건 거르는 
33,경기 평택 평택항,오닉스호,http://대교피싱호.com/,1,X,20명-지정좌석
34,경기 평택 평택항,자연호,http://nature.thefishing.kr/,1,X,18명-
35,경기 평택 평택항,평택등대호,https://평택항바다배낚시.com/,1,X,-
36,경기 화성 궁평항,블랙호,http://kungpyeong.com/,1,X,20명-
37,경기 화성 궁평항,타이탄호,http://kungpyeong.com/,1,X,20명-지정좌석
38,경기 화성 전곡항,골드피싱호,https://24marine.sunsang24.com/,2,O,20명-별로
39,경기 화성 전곡항,뉴신명호/신명스카이호,http://shinmyungho.com/,1,O,20명-지정좌석
40,경기 화성 전곡항,동백호,https://24marine.sunsang24.com/,2,X,20명-지정좌석
41,경기 화성 전곡항,레인보우호,http://www.rainbowho.com/,1,X,20명-지정좌석
42,경기 화성 전곡항,리틀대박호,https://jackpot.sunsang24.com/,2,X,20명-유선예약
43,경기 화성 전곡항,빅보스호,https://24marine.sunsang24.com/,2,X,(신)-20명-지정좌석
44,경기 화성 전곡항,스타피싱호,http://www.rainbowho.com/,1,O,20명-지정좌석
45,경기 화성 전곡항,스타호/레인보우호,https://jstar.thefishing.kr,1,X,(자리 선택)
47,경기 화성 전곡항,신흥특호,https://24marine.sunsang24.com/,2,X,20명-
48,경기 화성 전곡항,양철호,http://www.양철호.com/,1,O,20명-지정좌석. 평 좋음
49,경기 화성 전곡항,에버그린호,https://24marine.sunsang24.com/,2,X,20명-
50,경기 화성 전곡항,예지퀸호,https://yejiqueen.sunsang24.com/,2,X,19명-지정좌석
51,경기 화성 전곡항,옐로우피싱,https://yellow.sunsang24.com/,2,O,(자리 선택) 평 좋음
52,경기 화성 전곡항,왕선장호,https://king.sunsang24.com/,2,O,19명-지정좌석. 평 별로
53,경기 화성 전곡항,유로파호,https://europa.sunsang24.com/,2,O,(신)20명. 평 좋음
